"","cve_ent","mpio","poblacion_2022","hogrem2015","hogremjefmuj2015","popnoafmed2015","gini2015","popden2020","crimen_2018","crimen_2019","inclusion_fin_2019","porcentaje_pob_pobreza","porcentaje_pob_pobreza_ext","porcentaje_pob_servicios_salud","porcentaje_pob_acceso_ss","pob_6.14_no_edu","rezago_social","grado_rs","feb_2020","march_2020","april_2020","may_2020","june_2020","july_2020","august_2020","sept_2020","oct_2020","nov_2020","dic_2020","jan_2021","feb_2021","mar_2021...32","mar_2021...33","april_2021","may_2021","june_2021","july_2021","august_2021","sept_2021","oct_2021","nov_2021","dic_2021","ent_id","n","entidad"
"1",1001,"Aguascalientes",961977,4.819,27.827,14.337,0.392,811.991,7.36,8.15,1.78,23.68,1.97,20.02,37.77,4.6,-1.32,"Muy bajo",0,45,213,520,1168,1271,1385,1364,2388,3965,2370,3271,1498,1310,1310,826,401,221,1140,2944,2121,1560,1126,2067,1,2257,"Aguascalientes"
"2",1002,"Asientos",50864,12.867,22.054,5.774,0.37,94.087,7.81,5.78,0,40.13,4.14,16.47,62.09,6.29,-0.86,"Muy bajo",0,1,1,7,21,42,17,13,46,94,73,64,42,21,21,14,6,2,6,49,23,33,16,14,1,28,"Aguascalientes"
"3",1003,"Calvillo",60760,25.85,25.596,9.974,0.375,62.549,8.4,8.31,1.16,45.76,4.5,21.03,76.15,6.95,-0.92,"Muy bajo",0,0,9,2,25,89,18,41,64,185,116,186,151,73,73,19,3,0,37,82,22,57,32,68,1,89,"Aguascalientes"
"4",1004,"Cosio",16918,14.294,21.171,5.283,0.37,131.885,17.86,0,0,37.04,3.38,17.59,47.52,5.7,-1,"Muy bajo",0,0,0,17,25,25,17,2,6,13,2,9,7,0,0,2,1,4,1,4,1,4,4,4,1,10,"Aguascalientes"
"5",1005,"Jesus Maria",130184,5.721,19.892,14.024,0.402,260.285,5.14,10.98,0.36,26.34,3.29,21.08,41.87,5.88,-1.17,"Muy bajo",0,1,12,21,42,65,71,65,93,104,73,78,73,38,38,27,14,8,35,116,95,78,45,95,1,97,"Aguascalientes"
"6",1006,"Pabellon de Arteaga",50032,11.858,26.121,10.23,0.389,239.019,4.32,0,1.2,28.92,2.88,21.09,45.29,4.44,-1.17,"Muy bajo",0,5,6,26,57,69,40,82,109,192,87,90,46,34,34,15,3,3,10,74,38,39,38,18,1,68,"Aguascalientes"
"7",1007,"Rincon de Romos",57981,11.658,24.994,10.801,0.396,153.833,7.33,5.43,1.03,40.51,5.56,22.35,58.1,4.38,-1.07,"Muy bajo",0,1,10,40,88,153,85,47,74,73,16,42,34,10,10,11,13,3,11,52,79,66,61,30,1,61,"Aguascalientes"
"8",1008,"San Jose de Gracia",9661,20.247,31.131,5.834,0.418,11.147,0,0,0,45.77,2.32,8.14,74,5.74,-0.96,"Muy bajo",0,0,4,1,18,26,6,3,9,13,14,9,7,4,4,5,0,1,2,12,11,5,2,0,1,5,"Aguascalientes"
"9",1009,"Tepezala",22743,14.228,19.139,8.344,0.371,98.239,4.49,4.43,0,37.65,3.15,17.03,59.4,5.37,-0.9,"Muy bajo",0,1,1,24,43,48,24,14,19,24,18,22,8,8,8,2,0,1,1,19,34,12,10,6,1,16,"Aguascalientes"
"10",1010,"El Llano",21947,13.499,20.401,8.748,0.37,41.635,0,0,0,40.61,4.81,22.98,59.71,4.4,-0.83,"Muy bajo",0,0,1,3,3,7,4,4,6,2,11,7,4,5,5,6,3,0,2,3,11,22,14,11,1,8,"Aguascalientes"
"11",1011,"San Francisco de los Romo",51568,8.236,20.931,12.003,0.366,462.423,7.05,16.21,0.33,37.79,5.93,23.71,42.6,6.43,-1.08,"Muy bajo",0,0,4,8,20,17,13,14,20,49,35,35,21,6,6,8,4,2,12,31,40,23,19,27,1,35,"Aguascalientes"
"12",2001,"Ensenada",536143,6.041,33.247,14.15,0.373,8.543,36.84,41.07,1.32,22.3,2.06,19.47,49.9,5.46,-0.97,"Muy bajo",0,5,86,256,721,933,725,549,570,1120,1774,1415,470,203,203,116,60,138,376,893,929,1884,1827,1832,2,806,"Baja California"
"13",2002,"Mexicali",1087478,5.914,30.137,15.727,0.365,76.688,10.79,9.08,1.51,20.22,1.08,18.6,43.68,4.88,-1.24,"Muy bajo",0,69,809,2370,2815,1971,960,906,1332,1803,2636,1736,562,442,442,549,942,658,684,1391,1839,3078,4854,3664,2,1944,"Baja California"
"14",2003,"Tecate",113857,7.035,29.408,11.652,0.364,35.219,51.92,63.23,1.02,21.11,1.21,21.81,51.43,6.04,-1.02,"Muy bajo",0,1,89,87,82,144,147,146,165,203,279,138,46,32,32,18,14,29,48,151,111,271,487,380,2,161,"Baja California"
"15",2004,"Tijuana",1789531,6.069,31.285,21.564,0.361,2186.673,102.35,84.07,1.32,23.7,1.86,27.45,45.61,7.63,-1.15,"Muy bajo",0,109,1400,1151,818,1259,1270,1138,987,1665,3142,2817,883,580,580,351,346,379,810,1701,1326,3072,4277,4669,2,3275,"Baja California"
"16",2005,"Playas de Rosarito",107859,8.565,30.852,19.616,0.372,247.204,65.95,86.34,1.55,31.23,2.16,29.46,64.32,7.75,-0.96,"Muy bajo",0,2,26,40,50,78,100,74,64,74,230,183,73,51,51,17,12,30,63,184,92,337,382,322,2,181,"Baja California"
"17",3001,"Comondu",83051,2.93,27.472,9.149,0.395,5.82,12.91,3.44,0.92,34.95,4.28,11.66,48.6,3.56,-0.81,"Muy bajo",0,0,7,49,103,189,138,105,187,194,315,519,141,110,110,85,44,193,828,686,214,56,218,357,3,91,"Baja California Sur"
"18",3002,"Mulege",67727,1.278,24.925,9.804,0.373,1.935,22.15,14.85,1.65,24.11,3.16,18.66,43.96,5.62,-0.57,"Bajo",0,0,7,67,198,277,106,124,153,184,201,531,184,86,86,139,69,66,158,358,313,182,126,253,3,71,"Baja California Sur"
"19",3003,"La Paz",301961,1.921,27.956,12.969,0.403,14.414,22.35,10.28,1.87,20.61,1.89,14.22,36.68,3.32,-1.1,"Muy bajo",0,8,124,139,382,1583,1802,1534,1016,856,1513,2388,1364,1057,1057,952,673,2337,2808,1708,614,244,516,2998,3,607,"Baja California Sur"
"20",3008,"Los Cabos",330312,2.251,27.79,17.384,0.389,101.727,20.35,11.15,2.22,31.7,4.77,21.19,41.14,4.77,-0.76,"Muy bajo",0,34,173,80,262,941,924,634,793,711,1182,1881,912,693,693,624,1252,5843,4386,894,291,141,182,3524,3,363,"Baja California Sur"
